"codigo","nombre","provincia","mixed_score","climate_block_score","access_block_score","nature_block_score"
40172,"Riofrío de Riaza","Segovia",0.6122,0.2812,1,0.6656
40181,"Real Sitio de San Ildefonso","Segovia",0.5831,0.318,1,0.5195
53074,"Comunidad de Sepúlveda y Riaza","53",0.5648,0.2432,1,0.5585
5002,"La Adrada","Avila",0.5546,0.2608,1,0.5011
40059,"Collado Hermoso","Segovia",0.5544,0.3161,1,0.4264
40139,"Navafría","Segovia",0.5536,0.3046,1,0.4391
40170,"Riaza","Segovia",0.5376,0.2446,1,0.466
40199,"Sotosalbos","Segovia",0.5352,0.2904,1,0.3969
5055,"Casillas","Avila",0.5344,0.2522,1,0.4451
5184,"Peguerinos","Avila",0.5298,0.2768,1,0.397
40007,"Aldealengua de Pedraza","Segovia",0.5288,0.2942,1,0.3703
1036,"Laudio/Llodio","Araba/Alava",0.5285,0.559,0.36,0.6562
19283,"Torremocha del Pinar","Guadalajara",0.5257,0.2537,0.84,0.5742
40901,"Ortigosa del Monte","Segovia",0.5249,0.2713,1,0.3879
1004,"Artziniega","Araba/Alava",0.5246,0.5438,0.36,0.6636
